## memory, data ready
## threads ready
# starting GA
0: pop m=165.464263 v=2300.896366 f=-183.230153; best m=165.736842 v=531.772853 f=-3.720333
85177: pop m=175.026737 v=189.328781 f=100.329555; best m=175.578947 v=0.243767 f=171.950803
85500: pop m=175.147526 v=180.576260 f=103.055546; best m=175.578947 v=0.243767 f=171.950803
85826: pop m=175.110842 v=185.034493 f=102.211796; best m=175.578947 v=0.243767 f=171.950803
86151: pop m=175.138842 v=175.482416 f=103.331224; best m=175.578947 v=0.243767 f=171.950803
86476: pop m=175.072316 v=179.045729 f=103.877658; best m=175.578947 v=0.243767 f=171.950803
86799: pop m=174.994526 v=192.855568 f=100.846580; best m=175.578947 v=0.243767 f=171.950803
87123: pop m=175.039895 v=180.974039 f=102.614798; best m=175.578947 v=0.243767 f=171.950803
87446: pop m=175.082211 v=182.001479 f=102.708786; best m=175.578947 v=0.243767 f=171.950803
87768: pop m=175.063158 v=191.549778 f=100.323913; best m=175.578947 v=0.243767 f=171.950803
88092: pop m=175.043263 v=188.131607 f=100.613688; best m=175.578947 v=0.243767 f=171.950803
88469: pop m=175.030684 v=180.345967 f=103.397478; best m=175.578947 v=0.243767 f=171.950803
88803: pop m=175.000632 v=187.818404 f=100.767446; best m=175.578947 v=0.243767 f=171.950803
89128: pop m=175.172211 v=179.735623 f=102.683159; best m=175.578947 v=0.243767 f=171.950803
89452: pop m=175.034474 v=181.011679 f=101.332993; best m=175.578947 v=0.243767 f=171.950803
89775: pop m=175.069737 v=175.482294 f=102.779745; best m=175.578947 v=0.243767 f=171.950803
90097: pop m=175.137579 v=179.468521 f=101.799545; best m=175.578947 v=0.243767 f=171.950803
90419: pop m=175.019789 v=184.819169 f=101.149283; best m=175.578947 v=0.243767 f=171.950803
90742: pop m=175.146316 v=178.018825 f=103.973210; best m=175.578947 v=0.243767 f=171.950803
91068: pop m=175.107842 v=174.837967 f=103.921444; best m=175.578947 v=0.243767 f=171.950803
91392: pop m=175.114105 v=178.981861 f=101.194697; best m=175.578947 v=0.243767 f=171.950803
91715: pop m=174.960316 v=185.322399 f=100.249730; best m=175.578947 v=0.243767 f=171.950803
92038: pop m=175.040316 v=184.495014 f=101.249768; best m=175.578947 v=0.243767 f=171.950803
